Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65f32a82b2040c5262e7c4e5,647922d23b058e3c3bf8a974,APPROVED,Not Applicable,2024-03-14T16:53:14.211000Z,2024-03-14T17:09:44.670000Z,2024-03-14T17:10:09.512000Z,2024-03-14T17:09:45.350466Z,991.0,C1JX727W,88,"Portuguese, English, Spanish",22,Male,Black,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
65f32a8731807ee1d75feae8,604d242c7c866fc358db7d48,APPROVED,Not Applicable,2024-03-14T16:49:27.238000Z,2024-03-14T17:03:03.837000Z,2024-03-14T17:04:35.489000Z,2024-03-14T18:08:07.648165Z,817.0,C1JX727W,440,"English, Portuguese, Spanish",38,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
65f32a8fcbe47fd884c9b420,616fecdd127553593aac3134,APPROVED,Not Applicable,2024-03-14T16:51:16.396000Z,2024-03-14T17:20:13.144000Z,2024-03-14T17:20:16.724000Z,2024-03-14T17:20:13.786030Z,1737.0,C1JX727W,251,English,30,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
65f32a8f9b13487e9bba4114,653684d6b3b9043f255d8b86,APPROVED,Not Applicable,2024-03-14T16:49:39.446000Z,2024-03-14T17:06:08.597000Z,2024-03-14T17:06:13.274000Z,2024-03-14T17:06:09.390601Z,990.0,C1JX727W,100,"English, French, Greek",31,Male,White,France,France,France,French,No,Unemployed (and job seeking)
65f32a92aeefc7a239b0088e,613f8025729e764d1eb4a59e,APPROVED,Not Applicable,2024-03-14T16:49:25.789000Z,2024-03-14T17:02:12.281000Z,2024-03-14T17:03:03.542000Z,2024-03-14T17:04:00.875534Z,767.0,C1JX727W,32,"Portuguese, English",25,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
65f32a97b06248b1a3e0fac0,613ad9f6446b3062b94e793c,APPROVED,Not Applicable,2024-03-14T16:50:02.777000Z,2024-03-14T17:11:33.382000Z,2024-03-14T17:11:40.271000Z,2024-03-14T17:11:33.943115Z,1291.0,C1JX727W,203,"Spanish, English, German, Italian",30,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Part-Time
65f32a984a6de17d9e58b156,5e89e89bf025be000c01eead,APPROVED,Not Applicable,2024-03-14T16:49:28.940000Z,2024-03-14T17:03:26.970000Z,2024-03-14T17:03:52.881000Z,2024-03-14T17:04:10.087935Z,839.0,C1JX727W,666,"Portuguese, English",25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
65f32a9d8640aa18b9dbd62c,5c8bb229b0b5510016a92910,APPROVED,Not Applicable,2024-03-14T16:49:40.202000Z,2024-03-14T17:10:13.661000Z,2024-03-14T17:10:25.957000Z,2024-03-14T17:10:14.439196Z,1234.0,C1JX727W,366,"English, German, Polish, Swahili",33,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
65f32aa597aae6f8ba394c77,6166e8f5ac6f9f2f58f5744c,APPROVED,Not Applicable,2024-03-14T16:49:51.209000Z,2024-03-14T17:30:26.543000Z,2024-03-14T17:30:40.388000Z,2024-03-14T17:32:36.156329Z,2436.0,C1JX727W,337,"Afrikaans, English",26,Male,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
65f32aa70e71cd7be2d01307,5ebda81ca63a900da8997a09,APPROVED,Not Applicable,2024-03-14T16:49:43.593000Z,2024-03-14T17:16:39.308000Z,2024-03-14T17:16:59.186000Z,2024-03-14T17:16:39.845786Z,1616.0,C1JX727W,164,"English, Portuguese",24,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
