Filename,1_14.csv
1125,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707903315.0734458,1707903315.684523,1707903317.869309
3576,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707903319.1039171,1707903320.172225,1707903322.270852
3588,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707903323.526719,1707903324.140178,1707903326.209414
3027,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707903327.1822982,1707903327.862092,1707903329.9819121
3207,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707903330.999435,1707903331.446246,1707903333.3991392
1833,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707903334.868177,1707903335.300226,1707903337.184739
2980,GRADUATE,DROPOUT,GRADUATE,DROPOUT,1707903338.406098,1707903338.851815,1707903340.806038
2358,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707903341.908009,1707903342.592087,1707903344.843067
4421,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707903346.128011,1707903346.794764,1707903348.74679
2609,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707903349.916061,1707903350.479529,1707903352.496284
1,40
2,FEMALE
3,YES,rgtwegrwt
4,-9
know,STRONGLY AGREE
rel_1,AGREE
com_2,NEUTRAL
fai_4,DISAGREE
com_5,STRONGLY DISAGREE
fai_1,DISAGREE
rel_2,NEUTRAL
rel_5,AGREE
com_1,STRONGLY AGREE
fai_5,AGREE
com_3,NEUTRAL
fai_2,DISAGREE
fai_3,STRONGLY DISAGREE
