Prolific ID,609e5ee2411558f6ee4cc7d7
student_id,target,first_choice,ai_pred,second_choice,time1,time2,time3
tutorial_2309,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710435368.37823,1710435374.5205457,1710435435.4402745
872,GRADUATE,DROPOUT,DROPOUT,DROPOUT,1710435454.8942745,1710435458.3770301,1710435495.74561
3369,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710435564.2998707,1710435565.218185,1710435574.7918382
1125,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710435589.356221,1710435590.408648,1710435595.6126974
533,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710435603.2756393,1710435603.9904368,1710435612.3698132
66,GRADUATE,DROPOUT,GRADUATE,DROPOUT,1710435639.5380747,1710435640.120093,1710435667.4524922
223,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710435680.681099,1710435682.3377368,1710435691.058748
attention_2309,attention test failed
3207,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710435758.0012999,1710435763.1689746,1710435771.1261628
3245,DROPOUT,GRADUATE,DROPOUT,DROPOUT,1710435792.6199684,1710435793.2961056,1710435835.3232405
3676,GRADUATE,DROPOUT,DROPOUT,DROPOUT,1710435842.9682128,1710435843.4760046,1710435850.1889749
3224,DROPOUT,GRADUATE,GRADUATE,GRADUATE,1710435875.700822,1710435880.1302297,1710435884.8820066
3224,DROPOUT,GRADUATE,GRADUATE,GRADUATE,1710435875.700822,1710435880.1302297,1710435885.4925277
