Prolific ID,60e7218db2691424068d718c
student_id,target,first_choice,ai_pred,second_choice,time1,time2,time3
tutorial_2309,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710435302.3540096,1710435305.9136715,1710435471.7389302
2609,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710435516.759078,1710435522.508733,1710435540.5295982
4107,DROPOUT,GRADUATE,GRADUATE,GRADUATE,1710435560.343688,1710435576.5924654,1710435592.1900518
533,DROPOUT,GRADUATE,DROPOUT,DROPOUT,1710435608.8019052,1710435614.5994644,1710435626.4633884
2692,GRADUATE,DROPOUT,GRADUATE,GRADUATE,1710435642.4283133,1710435645.579394,1710435669.0427842
503,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710435683.9528804,1710435685.8821805,1710435709.3789532
68,DROPOUT,GRADUATE,GRADUATE,GRADUATE,1710435726.2089198,1710435727.4979148,1710435752.3967757
attention_2309,attention test failed
3369,DROPOUT,GRADUATE,DROPOUT,DROPOUT,1710435811.342322,1710435815.3031645,1710435845.10693
4421,DROPOUT,GRADUATE,DROPOUT,DROPOUT,1710435858.1564786,1710435862.0252972,1710435872.6251998
262,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710435890.148204,1710435892.1025007,1710435907.759434
1125,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710435936.1239922,1710435948.667018,1710435971.9610667
