Prolific ID,60f6dc139e58d2688fc34fee
student_id,target,first_choice,ai_pred,second_choice,time1,time2,time3
tutorial_2309,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710436557.4820964,1710436557.791877,1710436681.5258203
262,DROPOUT,GRADUATE,DROPOUT,DROPOUT,1710436777.6697056,1710436779.660877,1710436799.8651183
1833,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710436808.5400054,1710436820.4980173,1710436832.7023616
758,GRADUATE,DROPOUT,GRADUATE,DROPOUT,1710436902.5548131,1710436906.3068235,1710436935.2383258
3207,DROPOUT,GRADUATE,DROPOUT,DROPOUT,1710436945.3979936,1710436947.9901283,1710436987.695005
872,GRADUATE,DROPOUT,DROPOUT,DROPOUT,1710437108.2335339,1710437115.3547623,1710437127.9972255
1050,GRADUATE,DROPOUT,GRADUATE,DROPOUT,1710437160.3091557,1710437170.4484098,1710437194.4100015
attention_2309,attention test failed
223,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710437277.2372162,1710437309.7864041,1710437326.47211
2692,GRADUATE,DROPOUT,GRADUATE,GRADUATE,1710437384.6019287,1710437387.110162,1710437419.7993696
3151,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710437457.412656,1710437465.0394366,1710437481.4377248
3576,GRADUATE,DROPOUT,GRADUATE,GRADUATE,1710437595.3913753,1710437619.4532263,1710437686.2743986
