Prolific ID,647e5f4c5b7dfbc365335f72
student_id,target,first_choice,ai_pred,second_choice,time1,time2,time3
tutorial_2309,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710439403.9607494,1710439437.3721445,1710439492.8458924
1125,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710439521.4057453,1710439522.4616194,1710439532.632001
262,DROPOUT,GRADUATE,DROPOUT,DROPOUT,1710439537.813189,1710439542.942009,1710439556.678859
4421,DROPOUT,GRADUATE,DROPOUT,DROPOUT,1710439564.9903822,1710439565.1071432,1710439579.359348
3151,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710439587.0709417,1710439587.927158,1710439594.3128512
758,GRADUATE,DROPOUT,GRADUATE,GRADUATE,1710439620.3019404,1710439621.3045843,1710439626.4649107
68,DROPOUT,DROPOUT,GRADUATE,GRADUATE,1710439634.2044237,1710439635.0004053,1710439640.8482883
attention_2309,attention test failed
3676,GRADUATE,DROPOUT,DROPOUT,DROPOUT,1710439706.653978,1710439707.6092966,1710439712.362514
2609,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710440414.534821,1710440415.4388988,1710440422.177007
3576,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710440433.0171013,1710440433.7844424,1710440438.2964678
3027,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710440456.221227,1710440457.248759,1710440461.1913188
3027,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710440456.221227,1710440457.248759,1710440461.3648622
