Prolific ID,653ec70763f99a4e8bfb0192
student_id,target,first_choice,ai_pred,second_choice,time1,time2,time3
tutorial_2309,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710435297.0608253,1710435300.4492714,1710435443.4079707
487,DROPOUT,GRADUATE,DROPOUT,DROPOUT,1710435467.0907958,1710435473.3899279,1710435487.7354043
1409,GRADUATE,DROPOUT,GRADUATE,DROPOUT,1710435547.1368544,1710435548.117016,1710435564.164247
1042,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710435574.2802157,1710435604.918881,1710435622.2939603
3369,DROPOUT,GRADUATE,DROPOUT,DROPOUT,1710435646.2236412,1710435652.0973918,1710435677.2601352
503,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710435735.2433465,1710435737.1269574,1710435749.246118
4107,DROPOUT,GRADUATE,GRADUATE,GRADUATE,1710435869.5057364,1710435871.243926,1710435881.7590275
attention_2309,attention test failed
attention_2309,attention test failed
68,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1710435966.3291166,1710435967.5662367,1710435995.4486167
2358,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710436008.9060025,1710436010.465596,1710436021.6415126
872,GRADUATE,GRADUATE,DROPOUT,DROPOUT,1710436037.9671917,1710436046.004357,1710436055.6371489
223,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710436072.3035312,1710436075.0886023,1710436081.451445
1,47
2,MALE
3,YES,internet
4,5
know,STRONGLY AGREE
com_2,AGREE
fai_5,NEUTRAL
fai_3,AGREE
com_1,AGREE
rel_2,AGREE
com_5,AGREE
rel_1,STRONGLY AGREE
fai_1,STRONGLY DISAGREE
fai_4,NEUTRAL
rel_5,AGREE
attention test completed
fai_2,AGREE
com_3,AGREE
1,47
2,MALE
3,YES,internet
4,5
know,STRONGLY AGREE
com_2,AGREE
fai_5,NEUTRAL
fai_3,AGREE
com_1,AGREE
rel_2,AGREE
com_5,AGREE
rel_1,STRONGLY AGREE
fai_1,STRONGLY DISAGREE
fai_4,NEUTRAL
rel_5,AGREE
attention test completed
fai_2,AGREE
com_3,AGREE
