Prolific ID,0192837465
2642,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707914614.23197,1707914614.9228458,1707914617.440898
68,DROPOUT,GRADUATE,GRADUATE,GRADUATE,1707914620.3470988,1707914620.82847,1707914623.3470101
629,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707914624.4334002,1707914624.9978209,1707914626.9662971
1833,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707914628.019527,1707914628.617188,1707914630.735878
2692,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707914631.905039,1707914632.422016,1707914634.2216089
2980,GRADUATE,DROPOUT,GRADUATE,DROPOUT,1707914635.392264,1707914636.00756,1707914638.21028
3224,DROPOUT,GRADUATE,GRADUATE,GRADUATE,1707914639.246182,1707914639.709207,1707914642.4956338
758,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707914643.8032918,1707914644.232607,1707914646.217321
1125,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707914647.603078,1707914648.134505,1707914650.235623
2358,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707914651.505336,1707914652.521462,1707914654.723368
1,323241
2,FEMALE
3,YES,gregregrew
4,312
know,STRONGLY AGREE
rel_1,AGREE
com_1,NEUTRAL
fai_2,DISAGREE
com_2,STRONGLY DISAGREE
com_3,DISAGREE
fai_3,NEUTRAL
rel_2,AGREE
fai_1,STRONGLY AGREE
fai_5,AGREE
rel_5,NEUTRAL
fai_4,DISAGREE
com_5,STRONGLY DISAGREE
