Prolific ID,5d3f63a92df9f7001bd92a32
student_id,target,first_choice,ai_pred,second_choice,time1,time2,time3
tutorial_2309,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710435300.8280394,1710435304.7067845,1710435440.6540306
3676,GRADUATE,DROPOUT,DROPOUT,DROPOUT,1710435509.594558,1710435513.141898,1710435597.4964612
262,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710435662.9668717,1710435672.211385,1710435752.9855895
3709,DROPOUT,GRADUATE,GRADUATE,GRADUATE,1710435810.0088851,1710435816.7089286,1710435902.288901
3151,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710435986.6181946,1710436024.8283615,1710436068.7476175
66,GRADUATE,DROPOUT,GRADUATE,DROPOUT,1710436145.1848087,1710436153.4639401,1710436297.0818102
503,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710436338.0580468,1710436341.2036877,1710436402.6093473
attention_2309,attention test completed
223,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710436534.9500005,1710436539.3080208,1710436721.924597
533,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710436762.2297482,1710436764.6599882,1710436824.471479
3576,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710436864.3823335,1710436867.581051,1710436926.6868737
2358,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710436962.6293266,1710436965.874003,1710437021.7825305
1,0
2,MALE
3,YES,trough the use of apps like chat GPT or Microsoft Copilot
4,11
know,AGREE
rel_2,STRONGLY AGREE
fai_1,STRONGLY AGREE
attention test completed
fai_2,STRONGLY DISAGREE
com_5,STRONGLY AGREE
com_1,STRONGLY AGREE
com_2,NEUTRAL
fai_5,AGREE
fai_4,DISAGREE
fai_3,AGREE
rel_5,STRONGLY AGREE
com_3,STRONGLY AGREE
rel_1,STRONGLY AGREE
1,0
2,MALE
3,YES,trough the use of apps like chat GPT or Microsoft Copilot
4,11
know,AGREE
rel_2,STRONGLY AGREE
fai_1,STRONGLY AGREE
attention test completed
fai_2,STRONGLY DISAGREE
com_5,STRONGLY AGREE
com_1,STRONGLY AGREE
com_2,NEUTRAL
fai_5,AGREE
fai_4,DISAGREE
fai_3,AGREE
rel_5,STRONGLY AGREE
com_3,STRONGLY AGREE
rel_1,STRONGLY AGREE
