Prolific ID,60f4727163e9ac487c468674
student_id,target,first_choice,ai_pred,second_choice,time1,time2,time3
tutorial_2309,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710435249.3489423,1710435251.7537239,1710435314.645819
533,DROPOUT,DROPOUT,DROPOUT,DROPOUT,1710435393.270655,1710435396.7838857,1710435413.3763435
1125,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710435482.7773855,1710435484.835156,1710435494.7636983
4107,DROPOUT,DROPOUT,GRADUATE,GRADUATE,1710435540.6573226,1710435542.089065,1710435592.8639002
68,DROPOUT,GRADUATE,GRADUATE,GRADUATE,1710435649.2005482,1710435652.0815008,1710435670.312413
1409,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710435703.335112,1710435706.1286008,1710435721.4732141
2358,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1710435754.6346648,1710435757.7412558,1710435771.2720628
attention_2309,attention test failed
3207,DROPOUT,GRADUATE,DROPOUT,GRADUATE,1710435866.6782887,1710435868.6842124,1710435880.7696066
3027,DROPOUT,GRADUATE,DROPOUT,DROPOUT,1710435904.3837726,1710435905.7808828,1710435915.9252627
2980,GRADUATE,DROPOUT,DROPOUT,DROPOUT,1710435963.358728,1710435964.2941608,1710435981.4399533
1833,DROPOUT,GRADUATE,DROPOUT,DROPOUT,1710436018.8344662,1710436021.9477668,1710436038.6528935
